                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5646,                0.63273,                 1.2179,                0.95361,                0.97136,                 0.9786,                0.54054,                 1.5727,                 0.5864,                  1.369,                  0.073,                  0.003,                  0.003
                      1,                 1.5729,                0.64636,                 1.1855,                0.92496,                0.96835,                0.96943,                0.47158,                 1.7531,                0.64104,                 1.5179,               0.045062,              0.0060623,              0.0060623
                      2,                 1.7236,                0.68613,                  1.236,                0.91929,                0.96609,                0.96529,                0.47323,                 1.7157,                0.67286,                 1.4688,               0.017086,              0.0090862,              0.0090862
                      3,                 1.6371,                0.68748,                 1.2828,                0.94818,                0.96524,                 0.9788,                0.50598,                 1.6387,                0.64551,                 1.4172,              0.0098144,              0.0098144,              0.0098144
                      4,                   1.67,                0.68949,                   1.24,                0.94455,                0.96081,                0.96486,                0.45001,                 1.8043,                0.64985,                 1.4492,              0.0098144,              0.0098144,              0.0098144
                      5,                 1.7263,                0.71156,                 1.2955,                0.94002,                 0.9691,                0.97404,                0.47307,                 1.7801,                0.64295,                 1.5432,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.7152,                0.70817,                 1.2545,                0.94479,                0.96714,                 0.9731,                0.54553,                 1.5426,                0.62525,                 1.3252,              0.0096906,              0.0096906,              0.0096906
                      7,                 1.7104,                0.69792,                 1.2883,                0.94515,                0.97136,                0.97931,                0.53467,                 1.6085,                0.64576,                 1.3583,              0.0096288,              0.0096288,              0.0096288
                      8,                 1.6743,                0.69833,                 1.2407,                0.94936,                 0.9749,                0.97966,                0.51308,                  1.655,                0.66917,                 1.3985,              0.0095669,              0.0095669,              0.0095669
                      9,                 1.7004,                0.71854,                 1.2923,                0.94232,                0.97252,                0.97671,                0.51423,                 1.6593,                 0.6429,                 1.4045,               0.009505,               0.009505,               0.009505
